logo.jpg,Kill Logo,An early logo of Kill.
gamecenterrise.jpg,Rise Above,An illustration that was supposed to be used for an animated-still music video called Game Center.
losthighway.jpg,Lost Highway,An illustration that was supposed to be used for an animated-still music video called Lost Highway.
leaper.jpg,Leaper Bro,"Kill doing what he does best, jumping."
kill_battle.png,Kill Battle Sprite 1,A battle sprite for a momentarily developed turn based RPG game.
kill_battle2.png,Kill Battle Sprite 2,A battle sprite for a momentarily developed turn based RPG game.
kill_battle3.png,Kill Battle Sprite 3,A battle sprite for a momentarily developed turn based RPG game.
kill_battle4.png,Kill Battle Sprite 4,A battle sprite for a momentarily developed turn based RPG game.
armorconcept.jpg,Armor Concept,Kill is trying on some new gear.
avobetteday.jpg,Kill and Young Betty,Kill with young Betty.
phubby.jpg,Kill and Phubby,Kill with Ambigail Phubby.
avobette1.jpg,Kill and Avobette 1,Kill with big Betty.
avobette2.jpg,Kill and Avobette 2,Kill with big Betty.
